  J/psi pT    B pT Mean    BpT RMS  
 15.0-16.0   & 12.0  /pm    2.5 

 16.0-17.0   & 12.6  /pm    2.7 

 17.0-18.0   & 13.6  /pm    2.9 

 18.0-19.0   & 13.9  /pm    3.2 

 19.0-20.0   & 14.6  /pm    3.6 

 20.0-21.0   & 14.9  /pm    3.5 

 21.0-22.0   & 15.6  /pm    3.8 

 22.0-23.0   & 16.6  /pm    3.9 

 23.0-24.0   & 17.7  /pm    3.9 

 24.0-25.0   & 17.7  /pm    4.6 

 25.0-26.0   & 19.3  /pm    4.2 

 26.0-27.0   & 20.1  /pm    4.4 

 27.0-28.0   & 19.4  /pm    5.4 

 28.0-29.0   & 22.2  /pm    4.6 

 29.0-30.0   & 20.3  /pm    5.2 

  B pT    J/psi pT Mean    J/psi pT RMS  
 0.0-1.0   & 0.8  /pm    0.5 

 1.0-2.0   & 1.6  /pm    0.5 

 2.0-3.0   & 2.4  /pm    0.6 

 3.0-4.0   & 3.2  /pm    0.7 

 4.0-5.0   & 4.0  /pm    0.8 

 5.0-6.0   & 4.8  /pm    0.9 

 6.0-7.0   & 5.6  /pm    1.0 

 7.0-8.0   & 6.4  /pm    1.1 

 8.0-9.0   & 7.2  /pm    1.3 

 9.0-10.0   & 7.9  /pm    1.4 

 10.0-11.0   & 8.7  /pm    1.5 

 11.0-12.0   & 9.4  /pm    1.7 

 12.0-13.0   & 9.9  /pm    1.9 

 13.0-14.0   & 10.7  /pm    2.1 

 14.0-15.0   & 11.4  /pm    2.4 

 15.0-16.0   & 12.1  /pm    2.5 

 16.0-17.0   & 12.7  /pm    2.7 

 17.0-18.0   & 13.2  /pm    2.8 

 18.0-19.0   & 13.6  /pm    3.4 

 19.0-20.0   & 14.8  /pm    3.5 

 20.0-21.0   & 15.0  /pm    4.0 

 21.0-22.0   & 16.0  /pm    3.6 

 22.0-23.0   & 16.5  /pm    4.3 

 23.0-24.0   & 17.9  /pm    4.1 

 24.0-25.0   & 18.5  /pm    3.8 

 25.0-26.0   & 19.5  /pm    4.7 

 26.0-27.0   & 19.6  /pm    4.4 

 27.0-28.0   & 20.1  /pm    4.4 

 28.0-29.0   & 21.1  /pm    5.8 

 29.0-30.0   & 22.0  /pm    5.2 

  B pT    J/psi pT Mean    J/psi pT RMS  
 0.0-1.0   & 0.8  pm    0.5 

 1.0-2.0   & 1.6  pm    0.5 

 2.0-3.0   & 2.4  pm    0.6 

 3.0-4.0   & 3.2  pm    0.7 

 4.0-5.0   & 4.0  pm    0.8 

 5.0-6.0   & 4.8  pm    0.9 

 6.0-7.0   & 5.6  pm    1.0 

 7.0-8.0   & 6.4  pm    1.1 

 8.0-9.0   & 7.2  pm    1.3 

 9.0-10.0   & 7.9  pm    1.4 

 10.0-11.0   & 8.7  pm    1.5 

 11.0-12.0   & 9.4  pm    1.7 

 12.0-13.0   & 9.9  pm    1.9 

 13.0-14.0   & 10.7  pm    2.1 

 14.0-15.0   & 11.4  pm    2.4 

 15.0-16.0   & 12.1  pm    2.5 

 16.0-17.0   & 12.7  pm    2.7 

 17.0-18.0   & 13.2  pm    2.8 

 18.0-19.0   & 13.6  pm    3.4 

 19.0-20.0   & 14.8  pm    3.5 

 20.0-21.0   & 15.0  pm    4.0 

 21.0-22.0   & 16.0  pm    3.6 

 22.0-23.0   & 16.5  pm    4.3 

 23.0-24.0   & 17.9  pm    4.1 

 24.0-25.0   & 18.5  pm    3.8 

 25.0-26.0   & 19.5  pm    4.7 

 26.0-27.0   & 19.6  pm    4.4 

 27.0-28.0   & 20.1  pm    4.4 

 28.0-29.0   & 21.1  pm    5.8 

